,value
2016-07-20,108813897.23299979
2016-07-21,108448232.23299979
2016-07-22,108797369.23299979
2016-07-25,107851659.23299979
2016-07-26,108038221.23299979
2016-07-27,109305434.23299977
2016-07-28,106935111.23299977
2016-07-29,107632827.23299976
2016-08-01,107058462.23299976
2016-08-02,106712212.99699976
2016-08-03,106712212.99699976
2016-08-04,106712212.99699976
2016-08-05,106712212.99699976
2016-08-08,106712212.99699976
2016-08-09,106712212.99699976
2016-08-10,106712212.99699976
2016-08-11,106712212.99699976
2016-08-12,106712212.99699976
2016-08-15,106712212.99699976
2016-08-16,106712212.99699976
2016-08-17,106712212.99699976
2016-08-18,106712212.99699976
2016-08-19,106712212.99699976
2016-08-22,106712212.99699976
2016-08-23,106712212.99699976
2016-08-24,106712212.99699976
2016-08-25,106712212.99699976
2016-08-26,106712212.99699976
2016-08-29,106712212.99699976
2016-08-30,106712212.99699976
2016-08-31,106712212.99699976
2016-09-01,106712212.99699976
2016-09-02,105612692.29299974
2016-09-05,105597712.29299974
2016-09-06,105920492.29299974
2016-09-07,106816690.29299974
2016-09-08,106632110.29299974
2016-09-09,106770650.29299974
2016-09-12,105813398.29299974
2016-09-13,103620120.29299976
2016-09-14,103661360.29299976
2016-09-19,103230072.29299976
2016-09-20,103922712.29299976
2016-09-21,103943397.29299976
2016-09-22,104200642.29299976
2016-09-23,104770692.29299974
2016-09-26,104206544.29299974
2016-09-27,102543728.29299974
2016-09-28,103364021.29299974
2016-09-29,103024909.29299974
2016-09-30,103543088.29299974
2016-10-10,103824648.29299973
2016-10-11,105046171.27099974
2016-10-12,105499158.27099976
2016-10-13,105408371.27099976
2016-10-14,105473534.27099974
2016-10-17,105369854.27099974
2016-10-18,104612954.27099974
2016-10-19,105961830.27099974
2016-10-20,105916959.27099974
2016-10-21,106039082.27099974
2016-10-24,105870214.27099974
2016-10-25,107028509.27099974
2016-10-26,107103819.27099974
2016-10-27,106821252.27099974
2016-10-28,106717659.27099974
2016-10-31,106335718.27099974
2016-11-01,106218263.27099974
2016-11-02,106786807.51299974
2016-11-03,106114753.51299974
2016-11-04,106856367.51299974
2016-11-07,106566642.51299974
2016-11-08,106523646.51299974
2016-11-09,107020435.51299974
2016-11-10,106431886.51299974
2016-11-11,107573684.51299973
2016-11-14,108574499.51299973
2016-11-15,109043657.51299973
2016-11-16,109169917.51299971
2016-11-17,109141034.51299971
2016-11-18,109159716.51299971
2016-11-21,108258236.51299971
2016-11-22,108918555.5129997
2016-11-23,109688739.51299968
2016-11-24,109535347.51299968
2016-11-25,109862906.51299968
2016-11-28,110733620.5129997
2016-11-29,110911215.5129997
2016-11-30,111188026.51299968
2016-12-01,110512346.51299968
2016-12-02,111238196.8309997
2016-12-05,110015876.8309997
2016-12-06,108593957.83099972
2016-12-07,108136640.83099972
2016-12-08,108703206.83099972
2016-12-09,108172516.83099972
2016-12-12,108287954.83099972
2016-12-13,105067098.83099973
2016-12-14,105069264.83099972
2016-12-15,104265243.83099972
2016-12-16,103832877.83099972
2016-12-19,104306002.83099972
2016-12-20,103874407.83099972
2016-12-21,103467683.83099972
2016-12-22,104296634.83099972
2016-12-23,104131352.83099972
2016-12-26,103240864.83099973
2016-12-27,103603727.83099973
2016-12-28,103442109.83099973
2016-12-29,102958547.83099973
2016-12-30,102875664.83099973
2017-01-03,103108303.83099972
2017-01-04,103167873.26499972
2017-01-05,103167873.26499972
2017-01-06,103167873.26499972
2017-01-09,103167873.26499972
2017-01-10,103167873.26499972
2017-01-11,103167873.26499972
2017-01-12,103167873.26499972
2017-01-13,103167873.26499972
2017-01-16,103167873.26499972
2017-01-17,103167873.26499972
2017-01-18,103167873.26499972
2017-01-19,103167873.26499972
2017-01-20,103167873.26499972
2017-01-23,103167873.26499972
2017-01-24,103167873.26499972
2017-01-25,103167873.26499972
2017-01-26,103167873.26499972
2017-02-03,103167873.26499972
2017-02-06,103167873.26499972
2017-02-07,103167873.26499972
2017-02-08,103167873.26499972
2017-02-09,103167873.26499972
2017-02-10,103167873.26499972
2017-02-13,103167873.26499972
2017-02-14,103167873.26499972
2017-02-15,103167873.26499972
2017-02-16,103167873.26499972
2017-02-17,103167873.26499972
2017-02-20,103167873.26499972
2017-02-21,103167873.26499972
2017-02-22,103167873.26499972
2017-02-23,103167873.26499972
2017-02-24,103167873.26499972
2017-02-27,103167873.26499972
2017-02-28,103167873.26499972
2017-03-01,103167873.26499972
2017-03-02,103304572.05399981
2017-03-03,102687415.05399981
2017-03-06,102568606.05399981
2017-03-07,103289319.05399981
2017-03-08,103412033.05399981
2017-03-09,103108409.05399981
2017-03-10,102395229.05399981
2017-03-13,102422091.05399981
2017-03-14,103255195.05399981
2017-03-15,102994068.05399981
2017-03-16,103146821.05399981
2017-03-17,103840888.05399983
2017-03-20,102806061.05399984
2017-03-21,102717865.05399984
2017-03-22,102699636.05399984
2017-03-23,102060458.05399984
2017-03-24,102309518.05399986
2017-03-27,102852858.05399986
2017-03-28,102624328.05399986
2017-03-29,102509591.05399986
2017-03-30,102257426.05399986
2017-03-31,101180973.05399986
2017-04-05,101415983.05399986
2017-04-06,103469271.66499984
2017-04-07,103746765.66499983
2017-04-10,104414254.66499981
2017-04-11,104308660.66499981
2017-04-12,105402809.6649998
2017-04-13,105263887.6649998
2017-04-14,105683856.6649998
2017-04-17,104872323.6649998
2017-04-18,103914563.6649998
2017-04-19,102845397.6649998
2017-04-20,101825511.6649998
2017-04-21,101438886.6649998
2017-04-24,101359171.6649998
2017-04-25,99823692.66499981
2017-04-26,99843225.66499981
2017-04-27,100061347.6649998
2017-04-28,99939066.6649998
2017-05-02,100254514.6649998
2017-05-03,99759875.03799984
2017-05-04,99759875.03799984
2017-05-05,99759875.03799984
2017-05-08,99759875.03799984
2017-05-09,99759875.03799984
2017-05-10,99759875.03799984
2017-05-11,99759875.03799984
2017-05-12,99759875.03799984
2017-05-15,99759875.03799984
2017-05-16,99759875.03799984
2017-05-17,99759875.03799984
2017-05-18,99759875.03799984
2017-05-19,99759875.03799984
2017-05-22,99759875.03799984
2017-05-23,99759875.03799984
2017-05-24,99759875.03799984
2017-05-25,99759875.03799984
2017-05-26,99759875.03799984
2017-05-31,99759875.03799984
2017-06-01,99759875.03799984
2017-06-02,98727646.13399985
2017-06-05,99192464.13399984
2017-06-06,99444617.13399984
2017-06-07,100006612.13399984
2017-06-08,101417070.13399984
2017-06-09,101417891.13399984
2017-06-12,101590974.13399984
2017-06-13,100691951.13399985
2017-06-14,101822836.13399985
2017-06-15,101520635.13399985
2017-06-16,102208391.13399985
2017-06-19,102138198.13399985
2017-06-20,102871797.13399985
2017-06-21,102870454.13399985
2017-06-22,103201905.13399985
2017-06-23,102661537.13399985
2017-06-26,103137099.13399985
2017-06-27,104768879.13399985
2017-06-28,104762295.13399985
2017-06-29,104093990.13399985
2017-06-30,104618922.13399984
2017-07-03,104686299.13399984
2017-07-04,105204246.77799983
2017-07-05,104402374.77799983
2017-07-06,104988560.77799985
2017-07-07,104910651.77799985
2017-07-10,105434373.77799985
2017-07-11,105242263.77799985
2017-07-12,104580113.77799985
2017-07-13,104231568.77799985
2017-07-14,104968614.77799985
2017-07-17,104800967.77799985
2017-07-18,101553432.77799986
2017-07-19,102141261.77799986
2017-07-20,104196753.77799986
2017-07-21,104602884.77799986
2017-07-24,104318901.77799986
2017-07-25,104663629.77799986
2017-07-26,104170554.77799986
2017-07-27,104266911.77799986
2017-07-28,105376479.77799985
2017-07-31,105282767.77799985
2017-08-01,106277531.77799983
2017-08-02,106834415.19299987
2017-08-03,106534386.19299985
2017-08-04,106613853.19299985
2017-08-07,106467647.19299985
2017-08-08,106939313.19299987
2017-08-09,107166495.19299987
2017-08-10,107053097.19299987
2017-08-11,106581713.19299987
2017-08-14,105059825.19299987
2017-08-15,106604163.19299987
2017-08-16,106819884.19299987
2017-08-17,107181464.19299988
2017-08-18,108087583.19299985
2017-08-21,108041369.19299988
2017-08-22,108643495.19299985
2017-08-23,108300318.19299988
2017-08-24,107942511.19299988
2017-08-25,107067851.19299988
2017-08-28,108310697.19299984
2017-08-29,109987960.19299985
2017-08-30,109547478.19299987
2017-08-31,109889086.19299985
2017-09-01,110002239.19299984
2017-09-04,110213809.68499982
2017-09-05,110426521.68499982
2017-09-06,110643420.68499984
2017-09-07,110640452.68499982
2017-09-08,110389967.68499984
2017-09-11,110293547.68499984
2017-09-12,110699610.68499982
2017-09-13,110503922.68499982
2017-09-14,110866089.68499984
2017-09-15,111088274.68499982
2017-09-18,111071983.68499982
2017-09-19,111400772.68499981
2017-09-20,111346156.68499981
2017-09-21,111588085.68499982
2017-09-22,110930630.68499982
2017-09-25,110503493.68499982
2017-09-26,109174076.68499981
2017-09-27,109168343.68499982
2017-09-28,109408737.68499982
2017-09-29,109037176.68499982
2017-10-09,109402889.68499981
2017-10-10,110697354.42799985
2017-10-11,110697354.42799985
2017-10-12,110697354.42799985
2017-10-13,110697354.42799985
2017-10-16,110697354.42799985
2017-10-17,110697354.42799985
2017-10-18,110697354.42799985
2017-10-19,110697354.42799985
2017-10-20,110697354.42799985
2017-10-23,110697354.42799985
2017-10-24,110697354.42799985
2017-10-25,110697354.42799985
2017-10-26,110697354.42799985
2017-10-27,110697354.42799985
2017-10-30,110697354.42799985
2017-10-31,110697354.42799985
2017-11-01,110697354.42799985
2017-11-02,110594210.24799986
2017-11-03,110238559.24799986
2017-11-06,109186720.24799986
2017-11-07,109590638.24799985
