,value
2015-09-08,89593429.03400047
2015-09-09,91679103.03400047
2015-09-10,93684700.03400049
2015-09-11,91407785.03400047
2015-09-14,91277306.03400047
2015-09-15,87407884.03400046
2015-09-16,82905487.03400043
2015-09-17,87978376.03400046
2015-09-18,85722521.03400044
2015-09-21,85990205.03400044
2015-09-22,88199690.03400044
2015-09-23,89155517.03400046
2015-09-24,87442163.03400046
2015-09-25,88046844.03400046
2015-09-28,86174473.03400046
2015-09-29,86729647.03400046
2015-09-30,85174920.03400046
2015-10-08,85449236.03400046
2015-10-09,88186461.98100047
2015-10-12,89289866.98100047
2015-10-13,91821725.98100048
2015-10-14,92065606.98100048
2015-10-15,90613785.98100048
2015-10-16,92877393.98100048
2015-10-19,94566989.98100048
2015-10-20,95278395.98100048
2015-10-21,96303146.9810005
2015-10-22,90970942.98100047
2015-10-23,93260256.98100048
2015-10-26,94923718.9810005
2015-10-27,95791627.9810005
2015-10-28,95755900.9810005
2015-10-29,93956933.98100048
2015-10-30,94457386.9810005
2015-11-02,94452526.9810005
2015-11-03,93008822.10400051
2015-11-04,93008822.10400051
2015-11-05,93008822.10400051
2015-11-06,93008822.10400051
2015-11-09,93008822.10400051
2015-11-10,93008822.10400051
2015-11-11,93008822.10400051
2015-11-12,93008822.10400051
2015-11-13,93008822.10400051
2015-11-16,93008822.10400051
2015-11-17,93008822.10400051
2015-11-18,93008822.10400051
2015-11-19,93008822.10400051
2015-11-20,93008822.10400051
2015-11-23,93008822.10400051
2015-11-24,93008822.10400051
2015-11-25,93008822.10400051
2015-11-26,93008822.10400051
2015-11-27,93008822.10400051
2015-11-30,93008822.10400051
2015-12-01,93008822.10400051
2015-12-02,93391556.4770005
2015-12-03,95055891.4770005
2015-12-04,96388149.4770005
2015-12-07,94671752.4770005
2015-12-08,95091898.4770005
2015-12-09,92885300.4770005
2015-12-10,93725977.47700052
2015-12-11,93372567.47700052
2015-12-14,93230446.47700052
2015-12-15,96240457.47700053
2015-12-16,96397916.47700053
2015-12-17,96477448.47700053
2015-12-18,98113705.47700053
2015-12-21,97810798.47700053
2015-12-22,99421842.47700055
2015-12-23,100282546.47700055
2015-12-24,99531807.47700055
2015-12-25,98573268.47700055
2015-12-28,98905303.47700055
2015-12-29,96329527.47700053
2015-12-30,97110667.47700053
2015-12-31,97497929.47700055
2016-01-04,96318889.47700053
2016-01-05,88832693.01900049
2016-01-06,88326565.01900049
2016-01-07,90036485.0190005
2016-01-08,82985267.01900047
2016-01-11,84770527.01900049
2016-01-12,80328074.01900047
